Date,Price,Open,High,Low,Vol,Growth,AVBLS,CPTRA,HRATE,MIREV,MWNTD,MWNUS,MWTRV,TOTBC,Btc_Mined,TRFEE,TRVOU
2021-03-21,57383.8,58097.4,58583.8,55583.3,77470.0,-0.012199999999999999,1.4553190641025635,250.67403952684884,169563074.61598912,60066262.67738397,75328.0,70004521.0,31150.296352779907,18660493.75,875.0,60.90613182999999,388273949.242
2021-03-20,58093.4,58084.1,59882.1,57863.0,67830.0,0.0001,1.3352810064935066,214.40290050896016,167389189.04398918,61522483.49524511,95288.0,69946135.0,14910.595589109893,18659612.5,881.25,83.66084497999998,512236900.775
2021-03-19,58088.0,57645.0,59448.3,56305.1,83980.0,0.0075,1.3230333175675677,193.87048323719532,158357615.36380938,61617467.94631133,107791.0,69878801.0,24628.13540999021,18658518.75,1093.75,116.33945050000008,769968936.616
2021-03-18,57656.0,58911.8,60088.0,57099.6,102620.0,-0.0213,1.2618810921052628,191.5500040819418,162062349.9302092,64386085.97207126,107577.0,69824551.0,23764.718789489736,18657637.5,881.25,137.22857008999998,870414831.54
2021-03-17,58913.5,56892.9,58933.2,54253.2,118260.0,0.0356,1.2929001544117644,181.4938704973928,145003155.20071352,54456146.87951972,103254.0,69765649.0,17969.263404240133,18656756.25,881.25,105.8511926,933139262.0879998
2021-03-16,56889.7,55619.5,56889.7,53342.6,128509.99999999999,0.0197,1.3241554765100665,180.4646719006131,158863750.91842875,57657199.41954258,105137.0,69686892.0,40201.016996420476,18655875.0,881.25,110.36520932000006,1029700470.848
2021-03-15,55791.3,59117.4,60565.9,55088.8,117710.0,-0.0562,1.3563101891891882,204.1992899006633,157797551.24783528,59673362.68696073,91847.0,69641502.0,38203.93698245049,18655000.0,875.0,112.98540384,461229239.306
2021-03-14,59113.7,61192.7,61673.7,59113.7,80290.0,-0.034,1.3161392038216555,210.21384526763518,167393348.28317663,64756375.03469501,92683.0,69573103.0,15890.903180320014,18653906.25,1093.75,88.42522684000002,988962162.2946
2021-03-13,61195.3,57267.4,61795.8,56118.8,134640.0,0.06860000000000001,1.407024188811188,214.42433131393216,152466552.89486787,59410978.32581383,93795.0,69514376.0,33533.0283934501,18653031.25,875.0,116.89588102999998,701008587.7872
2021-03-12,57265.1,57806.2,58052.3,55134.5,116960.0,-0.0092,1.314888066666667,187.0654298860289,159929950.58902222,60000114.24336446,107474.0,69464770.0,42651.56486033087,18652156.25,875.0,117.22083707000004,867544807.9200001
2021-03-11,57799.5,55851.2,58135.0,54351.8,129630.0,0.0349,1.2848289015151508,181.07405302929973,140738356.51833954,52736912.57451841,110459.0,69404304.0,26129.067899710026,18651062.5,1093.75,111.07819319,1017432150.9559002
2021-03-10,55851.9,54882.7,57328.7,53073.6,140960.0,0.0177,1.299936744966443,167.26101424013441,158863750.91842875,57652864.47640345,126524.0,69357675.0,37704.1884032003,18650406.25,656.25,110.26473040999996,757075750.3895999
2021-03-09,54879.0,52352.4,54880.6,51941.3,114060.0,0.049100000000000005,1.31116065,176.4815920369701,149267953.88308737,52888356.46482327,83702.0,69280653.0,32131.75812987049,18649312.5,1093.75,105.13713112,593714545.9992
2021-03-08,52311.0,50988.9,52384.9,49338.1,68140.0,0.026099999999999998,1.4102301354838704,184.28741148343292,165260948.9419896,53803631.21964566,102176.0,69254753.0,19584.636453979794,18648437.5,875.0,90.54725683000002,439137853.703
2021-03-07,50982.3,48899.0,51434.1,48890.6,82910.0,0.0435,1.3697756849315073,189.6577132805193,155665151.9066483,49451162.50304934,86219.0,69203700.0,13993.101705529672,18647562.5,875.0,71.23039113000002,314191307.884
2021-03-06,48855.6,48798.7,49191.8,47132.8,66660.0,0.0013,1.352091625,172.63300803275064,162254330.9888254,49711918.89213497,94263.0,69134392.0,14744.385508480133,18646687.5,875.0,77.90309706999999,757198942.4943999
