Date,Value
2011-08-05,11.642619953099999
2011-08-04,12.9571093026
2011-08-03,14.9288433269576
2011-08-02,14.928843327000001
2011-08-01,13.8021381702
2011-07-31,14.1212208959377
2011-07-30,14.121220895899999
2011-07-29,12.7763427154
2011-07-28,14.0371660096524
2011-07-27,14.0371660097
2011-07-26,15.1298795314
2011-07-25,13.196617146798902
2011-07-24,13.196617146800001
2011-07-23,14.793659986199998
2011-07-22,12.0198487388041
2011-07-21,12.0198487388
2011-07-20,13.0285073742
2011-07-19,12.7425610725979
2011-07-18,12.7425610726
2011-07-17,11.887877098199999
2011-07-16,12.3540683569699
2011-07-15,12.354068357000001
2011-07-14,12.5094654432
2011-07-13,14.218833391984301
2011-07-12,14.218833392
2011-07-11,11.1885902101
2011-07-10,11.188590210086
2011-07-09,11.1885902101
2011-07-08,12.2763698138
2011-07-07,10.567001865081199
2011-07-06,10.5670018651
2011-07-05,10.695363201000001
2011-07-04,11.2438433651035
2011-07-03,11.2438433651
2011-07-02,10.969603283
2011-07-01,12.3408036934063
2011-06-30,12.3408036934
2011-06-29,12.409363713900001
2011-06-28,10.489683139395302
2011-06-27,10.4896831394
2011-06-26,10.969603283
2011-06-25,10.3525630983575
2011-06-24,10.352563098400001
2011-06-23,16.4544049245
2011-06-22,11.7702839678778
2011-06-21,11.7702839679
2011-06-20,10.0701318392
2011-06-19,9.547008107278641
2011-06-18,9.54700810728
2011-06-17,8.80591615375
2011-06-16,8.76232250942012
2011-06-15,8.762322509419999
2011-06-14,12.2934076998
2011-06-13,6.908784717776589
2011-06-12,6.90878471778
2011-06-11,6.7113908687
2011-06-10,6.37300141313269
2011-06-09,6.373001413130001
2011-06-08,5.97821371497
2011-06-07,4.765651499201
2011-06-06,4.7656514992000005
2011-06-05,7.049780324260001
2011-06-04,4.66945672080566
2011-06-03,4.6694567208099995
2011-06-02,4.38842460335
2011-06-01,3.8479782236268902
2011-05-31,3.84797822363
2011-05-30,3.24267827834
2011-05-29,3.7398889476823105
2011-05-28,3.73988894768
2011-05-27,3.35076755428
2011-05-26,3.8588974327365695
2011-05-25,3.85889743274
2011-05-24,3.54339009547
2011-05-23,3.3613666316604704
2011-05-22,3.36136663166
2011-05-21,3.0822639871499997
2011-05-20,2.71821705953771
2011-05-19,2.71821705954
2011-05-18,2.1964164632900003
2011-05-17,2.03455506274122
2011-05-16,2.03455506274
2011-05-15,1.7528474386700001
2011-05-14,1.9406525213839299
2011-05-13,1.9406525213799999
2011-05-12,1.57286756773
2011-05-11,1.46331460281772
2011-05-10,1.4633146028200001
2011-05-09,1.56504235595
2011-05-08,1.12305677063501
2011-05-07,1.1230567706399999
2011-05-06,1.19392928529
2011-05-05,1.2429948723533202
2011-05-04,1.24299487235
2011-05-03,1.01402213271
2011-05-02,0.9704082775389921
2011-05-01,0.970408277539
2011-04-30,1.0685394516700002
2011-04-29,0.927305976466821
2011-04-28,0.927305976467
2011-04-27,0.729909159694
2011-04-26,0.8859903636539429
2011-04-25,0.885990363654
2011-04-24,0.863037245425
2011-04-23,0.7804060197988101
2011-04-22,0.780406019799
2011-04-21,0.794177890736
2011-04-20,0.661049805006051
2011-04-19,0.6610498050060001
2011-04-18,0.647277934068
2011-04-17,0.728629502559235
2011-04-16,0.7286295025589999
2011-04-15,0.6836018366709999
2011-04-14,0.6672281399840179
2011-04-13,0.667228139984
2011-04-12,0.8227782585079999
2011-04-11,0.6303873224388891
2011-04-10,0.630387322439
2011-04-09,0.687695260842
2011-04-08,0.638574170782251
2011-04-07,0.638574170782
2011-04-06,0.663134715812
2011-04-05,0.692638663029293
2011-04-04,0.692638663029
2011-04-03,0.617202769036
2011-04-02,0.6480629074878039
2011-04-01,0.648062907488
2011-03-31,0.600058247674
2011-03-30,0.5349090664978701
2011-03-29,0.5349090664980001
2011-03-28,0.528051257953
2011-03-27,0.524622353680603
2011-03-26,0.5246223536810001
2011-03-25,0.483475502412
2011-03-24,0.5757084590360021
2011-03-23,0.575708459036
2011-03-22,0.56055823643
2011-03-21,0.5870711259906589
2011-03-20,0.587071125991
2011-03-19,0.473444456444
2011-03-18,0.5226826799142651
2011-03-17,0.5226826799140001
2011-03-16,0.496169790353
2011-03-15,0.36739289820060606
2011-03-14,0.367392898201
2011-03-13,0.443144011232
2011-03-12,0.518895124262712
2011-03-11,0.518895124263
2011-03-10,0.5113200129600001
2011-03-09,0.5984337929453171
2011-03-08,0.598433792945
2011-03-07,0.533330397391
2011-03-06,0.746109882360313
2011-03-05,0.74610988236
2011-03-04,0.7322930326870001
2011-03-03,0.505696698044212
2011-03-02,0.505696698044
2011-03-01,0.46700951895900006
2011-02-28,0.46148277908952706
2011-02-27,0.46148277908999996
2011-02-26,0.7488732522949999
2011-02-25,0.40235963975590705
2011-02-24,0.402359639756
2011-02-23,0.387860193278
2011-02-22,0.384235331658794
2011-02-21,0.384235331659
2011-02-20,0.337112130606
2011-02-19,0.318987822509188
2011-02-18,0.318987822509
2011-02-17,0.391485054898
2011-02-16,0.298535534464883
2011-02-15,0.298535534465
